dt,comptime,Phe_Bid,Phe_Ask,Phe_bid_chng,Phe_ask_chng,phe_sig,Phediff,btc_price
02/19/2023 18:46:08,1676850368.0,84422000.0,261324000.0,-1.33,0.21,SELL,67.69,24368.2
02/19/2023 18:46:17,1676850377.0,61886000.0,256338000.0,-0.36,-0.02,SELL,75.86,24368.2
02/19/2023 18:46:19,1676850379.0,60556000.0,256073000.0,-0.02,-0.0,SELL,76.35,24368.2
02/19/2023 18:46:32,1676850392.0,181184000.0,285738000.0,0.67,0.1,SELL,36.59,24368.2
02/19/2023 18:46:34,1676850394.0,180768000.0,233705000.0,-0.0,-0.22,SELL,22.65,24368.2
02/19/2023 18:46:44,1676850404.0,197037000.0,231364000.0,0.08,-0.01,SELL,14.84,24375.4
02/19/2023 18:46:47,1676850407.0,191642000.0,263758000.0,-0.03,0.12,SELL,27.34,24375.1
02/19/2023 18:46:57,1676850417.0,170413000.0,243190000.0,-0.12,-0.08,SELL,29.93,24375.1
02/19/2023 18:46:59,1676850419.0,170044000.0,241123000.0,-0.0,-0.01,SELL,29.48,24375.1
02/19/2023 18:47:10,1676850430.0,201483000.0,326261000.0,0.16,0.26,SELL,38.24,24375.1
02/19/2023 18:47:14,1676850434.0,202738000.0,253049000.0,0.01,-0.29,SELL,19.88,24375.1
02/19/2023 18:47:25,1676850445.0,192224000.0,326798000.0,-0.05,0.23,SELL,41.18,24375.3
02/19/2023 18:47:29,1676850449.0,188109000.0,404570000.0,-0.02,0.19,SELL,53.5,24375.3
02/19/2023 18:47:40,1676850460.0,268899000.0,287558000.0,0.3,-0.41,SELL,6.49,24375.3
02/19/2023 18:47:42,1676850462.0,177425000.0,301289000.0,-0.52,0.05,SELL,41.11,24375.3
02/19/2023 18:47:46,1676850466.0,233293000.0,186690000.0,0.24,-0.61,BUY,19.98,24369.4
02/19/2023 18:47:53,1676850473.0,240805000.0,209078000.0,0.03,0.11,BUY,13.18,24370.3
02/19/2023 18:47:54,1676850474.0,240135000.0,191119000.0,-0.0,-0.09,BUY,20.41,24370.3
02/19/2023 18:47:58,1676850478.0,176005000.0,199196000.0,-0.36,0.04,SELL,11.64,24370.3
02/19/2023 18:48:06,1676850486.0,259484000.0,219518000.0,0.32,0.09,BUY,15.4,24370.3
02/19/2023 18:48:17,1676850497.0,164694000.0,153368000.0,-0.58,-0.43,BUY,6.88,24370.3
02/19/2023 18:48:34,1676850514.0,291367000.0,247429000.0,0.43,0.38,BUY,15.08,24371.8
02/19/2023 18:48:40,1676850520.0,267944000.0,249071000.0,-0.09,0.01,BUY,7.04,24371.8
02/19/2023 18:48:53,1676850533.0,247104000.0,455314000.0,-0.08,0.45,SELL,45.73,24379.0
02/19/2023 18:49:00,1676850540.0,246407000.0,185594000.0,-0.0,-1.45,BUY,24.68,24374.3
02/19/2023 18:49:06,1676850546.0,200615000.0,224501000.0,-0.23,0.17,SELL,10.64,24372.1
02/19/2023 18:49:09,1676850549.0,238361000.0,223840000.0,0.16,-0.0,BUY,6.09,24372.1
02/19/2023 18:49:20,1676850560.0,186265000.0,249349000.0,-0.28,0.1,SELL,25.3,24362.4
02/19/2023 18:49:35,1676850575.0,209318000.0,345068000.0,0.11,0.28,SELL,39.34,24353.9
02/19/2023 18:49:43,1676850583.0,209100000.0,411010000.0,-0.0,0.16,SELL,49.13,24348.4
02/19/2023 18:49:51,1676850591.0,168731000.0,219665000.0,-0.24,-0.87,SELL,23.19,24356.2
02/19/2023 18:49:54,1676850594.0,165741000.0,224947000.0,-0.02,0.02,SELL,26.32,24356.2
02/19/2023 18:49:56,1676850596.0,158314000.0,226542000.0,-0.05,0.01,SELL,30.12,24358.7
02/19/2023 18:50:04,1676850604.0,147506000.0,211754000.0,-0.07,-0.07,SELL,30.34,24360.8
02/19/2023 18:50:07,1676850607.0,147911000.0,290543000.0,0.0,0.27,SELL,49.09,24360.8
02/19/2023 18:50:08,1676850608.0,183257000.0,285207000.0,0.19,-0.02,SELL,35.75,24360.8
02/19/2023 18:50:19,1676850619.0,300315000.0,166034000.0,0.39,-0.72,BUY,44.71,24360.5
02/19/2023 18:50:22,1676850622.0,411726000.0,363048000.0,0.27,0.54,BUY,11.82,24360.5
02/19/2023 18:50:42,1676850642.0,405579000.0,270201000.0,-0.02,-0.34,BUY,33.38,24355.8
02/19/2023 18:50:52,1676850652.0,225825000.0,272020000.0,-0.8,0.01,SELL,16.98,24352.7
02/19/2023 18:50:55,1676850655.0,229278000.0,285079000.0,0.02,0.05,SELL,19.57,24352.7
02/19/2023 18:51:04,1676850664.0,374578000.0,225436000.0,0.39,-0.26,BUY,39.82,24362.8
02/19/2023 18:51:06,1676850666.0,304719000.0,97250000.0,-0.23,-1.32,BUY,68.09,24362.8
02/19/2023 18:51:08,1676850668.0,179379000.0,146988000.0,-0.7,0.34,BUY,18.06,24362.8
02/19/2023 18:51:38,1676850698.0,200865000.0,227264000.0,0.11,0.35,SELL,11.62,24353.2
02/19/2023 18:51:42,1676850702.0,168334000.0,259449000.0,-0.19,0.12,SELL,35.12,24353.2
02/19/2023 18:51:49,1676850709.0,221578000.0,285455000.0,0.24,0.09,SELL,22.38,24353.2
02/19/2023 18:51:53,1676850713.0,285105000.0,259526000.0,0.22,-0.1,BUY,8.97,24353.2
02/19/2023 18:52:02,1676850722.0,304999000.0,186845000.0,0.07,-0.39,BUY,38.74,24340.9
02/19/2023 18:52:05,1676850725.0,257625000.0,180895000.0,-0.18,-0.03,BUY,29.78,24339.0
