symbol,datetime,side,price,amount,usd,epoch,buy_amount,sell_amount
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,661.0,11250.02,1670257527.0,0.0,11250.02
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,148.0,2518.92,1670257527.0,0.0,2518.92
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,186.0,3165.66,1670257527.0,0.0,3165.66
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,350.0,5956.9,1670257527.0,0.0,5956.9
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,59.0,1004.16,1670257527.0,0.0,1004.16
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,2213.0,37664.6,1670257527.0,0.0,37664.6
BTC/USD:USD,2022-12-05 16:25:27,sell,17000.0,73.0,1242.44,1670257527.0,0.0,1242.44
BTC/USD:USD,2022-12-05 16:25:27,sell,16991.0,2376.0,40438.81,1670257527.0,0.0,40438.81
BTC/USD:USD,2022-12-05 16:25:27,sell,16991.0,138.0,2348.72,1670257527.0,0.0,2348.72
BTC/USD:USD,2022-12-05 16:25:27,sell,16991.0,191.0,3250.76,1670257527.0,0.0,3250.76
BTC/USD:USD,2022-12-05 16:25:27,sell,16991.0,621.0,10569.23,1670257527.0,0.0,10569.23
BTC/USD:USD,2022-12-05 16:25:27,sell,16991.0,212.0,3608.18,1670257527.0,0.0,3608.18
